Healthy, Infected, Recovered, Immune
55088,7942,36970,0
55063,7957,36980,0
55033,7967,37000,0
55015,7966,37019,0
54972,7994,37034,0
54941,8017,37042,0
54897,8023,37080,0
54875,8040,37085,0
54846,8071,37083,0
54814,8077,37109,0
54766,8089,37145,0
54740,8092,37168,0
54708,8127,37165,0
54676,8151,37173,0
54630,8202,37168,0
54638,8202,37160,0
54619,8208,37173,0
54604,8206,37190,0
54577,8214,37209,0
54542,8252,37206,0
54531,8272,37197,0
54504,8304,37192,0
54487,8323,37190,0
54460,8349,37191,0
54441,8368,37191,0
54418,8387,37195,0
54393,8399,37208,0
54378,8418,37204,0
54363,8428,37209,0
54337,8448,37215,0
54272,8496,37232,0
54242,8514,37244,0
54235,8536,37229,0
54206,8558,37236,0
54211,8548,37241,0
54207,8522,37271,0
54191,8532,37277,0
54168,8551,37281,0
54131,8567,37302,0
54126,8575,37299,0
54133,8580,37287,0
54119,8590,37291,0
54094,8599,37307,0
54103,8575,37322,0
54093,8581,37326,0
54111,8561,37328,0
54113,8552,37335,0
54085,8572,37343,0
54069,8595,37336,0
54046,8611,37343,0
54019,8632,37349,0
54016,8626,37358,0
54005,8646,37349,0
53968,8671,37361,0
53953,8680,37367,0
53937,8690,37373,0
53922,8708,37370,0
53906,8725,37369,0
53878,8746,37376,0
53844,8765,37391,0
53811,8794,37395,0
53792,8820,37388,0
53759,8838,37403,0
53745,8815,37440,0
53703,8837,37460,0
53682,8833,37485,0
53658,8853,37489,0
53633,8880,37487,0
53625,8884,37491,0
53600,8898,37502,0
53582,8898,37520,0
53532,8931,37537,0
53523,8938,37539,0
53484,8970,37546,0
53482,8983,37535,0
53455,8977,37568,0
53396,9003,37601,0
53386,9016,37598,0
53347,9046,37607,0
53326,9045,37629,0
53300,9065,37635,0
53287,9064,37649,0
53280,9060,37660,0
53271,9048,37681,0
53232,9076,37692,0
53222,9091,37687,0
53200,9118,37682,0
53166,9137,37697,0
53170,9130,37700,0
53166,9134,37700,0
53155,9147,37698,0
53103,9173,37724,0
53088,9177,37735,0
53076,9160,37764,0
53053,9187,37760,0
53042,9196,37762,0
53032,9196,37772,0
53026,9175,37799,0
52993,9209,37798,0
52975,9208,37817,0
52927,9236,37837,0
